store_name,city_name,state_id,lat,lng
Dollar General,Abbeville,AL,31.563,-85.252
Dollar General,Alabaster,AL,33.239,-86.818
Dollar General,Alabaster,AL,33.214,-86.825
Dollar General,Alexander City,AL,32.936,-85.972
Dollar General,Alexander City,AL,32.955,-85.946
Dollar General,Alexander City,AL,32.862,-85.961
Dollar General,Alexander City,AL,32.931,-85.948
Dollar General,Alexander City,AL,32.964,-85.914
Dollar General,Adger,AL,33.45,-87.147
Dollar General,Alexandria,AL,33.766,-85.893
Dollar General,Alexandria,AL,33.782,-85.903
Dollar General,Aliceville,AL,33.127,-88.145
Dollar General,Aliceville,AL,33.129,-88.159
Dollar General,Adamsville,AL,33.598,-86.976
Dollar General,Addison,AL,34.197,-87.162
Dollar General,Albertville,AL,34.301,-86.145
Dollar General,Albertville,AL,34.267,-86.206
Dollar General,Albertville,AL,34.263,-86.187
Dollar General,Albertville,AL,34.242,-86.279
Dollar General,Albertville,AL,34.285,-86.231
Dollar General,Albertville,AL,34.36,-86.234
Dollar General,Albertville,AL,34.258,-86.219
Dollar General,Albertville,AL,34.279,-86.199
Dollar General,Akron,AL,32.871,-87.721
Dollar General,Alpine,AL,33.327,-86.197
Dollar General,Anderson,AL,34.922,-87.271
Dollar General,Arley,AL,34.07,-87.218
Dollar General,Ariton,AL,31.6,-85.713
Dollar General,Arab,AL,34.333,-86.482
Dollar General,Arab,AL,34.388,-86.515
Dollar General,Arab,AL,34.278,-86.495
Dollar General,Arab,AL,34.315,-86.504
Dollar General,Altoona,AL,34.067,-86.299
Dollar General,Altoona,AL,34.083,-86.418
Dollar General,Andalusia,AL,31.308,-86.486
Dollar General,Andalusia,AL,31.399,-86.48
Dollar General,Andalusia,AL,31.293,-86.503
Dollar General,Andalusia,AL,31.32,-86.462
Dollar General,Andalusia,AL,31.315,-86.496
Dollar General,Andalusia,AL,31.293,-86.497
Dollar General,Ardmore,AL,34.987,-86.847
Dollar General,Anniston,AL,33.65,-85.728
Dollar General,Anniston,AL,33.654,-85.9
Dollar General,Anniston,AL,33.746,-85.689
Dollar General,Anniston,AL,33.639,-85.826
Dollar General,Anniston,AL,33.686,-85.829
Dollar General,Anniston,AL,33.717,-85.86
Dollar General,Anniston,AL,33.627,-85.785
Dollar General,Anniston,AL,33.647,-85.861
Dollar General,Ashford,AL,31.204,-85.277
Dollar General,Ashville,AL,33.781,-86.278
Dollar General,Ashville,AL,33.847,-86.274
Dollar General,Ashville,AL,33.818,-86.265
Dollar General,Ashland,AL,33.193,-85.919
Dollar General,Ashland,AL,33.274,-85.846
Dollar General,Atmore,AL,31.023,-87.508
Dollar General,Atmore,AL,31.026,-87.418
Dollar General,Atmore,AL,31.006,-87.494
Dollar General,Atmore,AL,31.087,-87.54
Dollar General,Atmore,AL,31.023,-87.486
Dollar General,Autaugaville,AL,32.431,-86.655
Dollar General,Athens,AL,34.776,-86.922
Dollar General,Athens,AL,34.77,-86.878
Dollar General,Athens,AL,34.904,-86.821
Dollar General,Athens,AL,34.835,-86.833
Dollar General,Athens,AL,34.834,-87.019
Dollar General,Athens,AL,34.815,-86.972
